Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,sancho,Cross,0,40,28,76,10,44
Home,sancho,Pass,0,53,20,67,6,60
Home,sancho,Pass,1,4,22,34,11,34
Home,sancho,Cross,1,23,0,100,2,45
Home,sancho,Pass,1,43,7,69,8,62
Home,sancho,Pass,1,51,32,51,23,65
Home,sancho,Pass,2,8,24,95,16,72
Home,sancho,Pass,2,16,20,21,21,31
Home,sancho,Cross,2,37,0,0,8,48
Home,sancho,Cross,3,12,8,74,3,39
Home,sancho,Pass,3,18,18,63,3,65
Home,sancho,Pass,3,29,10,40,9,57
Home,sancho,Cross,4,39,20,73,11,41
Home,sancho,Cross,4,39,14,63,19,56
Home,sancho,Pass,4,39,16,57,6,57
Home,sancho,Pass,5,8,18,76,16,68
Home,sancho,Pass,5,21,14,53,20,47
Home,sancho,Pass,6,11,12,31,17,49
Home,sancho,Pass,6,22,7,74,14,66
Home,sancho,Pass,6,32,4,69,5,56